id,source,medium,service,lifecycle,final_sale_value_raw,final_sale_value,quoted_value,created_at
473137903,Meta Ads,Paid Ads,Express Wash,Cold Lead,,0.0,0.0,1782074560
473132495,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782073842
473108564,Meta Ads,Paid Ads,Express Wash,Hot Lead,,0.0,0.0,1782069107
473108134,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782069022
473107497,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782068904
473107250,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782068852
473056980,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782060444
473048919,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782058930
473043539,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782057909
473037639,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782056850
473013109,Google Ads,Paid Ads,Paint Protection Film (PPF),Cold Lead,,0.0,0.0,1782053506
473007333,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782052601
473005762,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782052451
473003583,Google Ads,Paid Ads,Paint Protection Film (PPF),Cold Lead,,0.0,6499.0,1782052093
473003490,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782052082
473000458,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782051572
472985568,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782049760
472967079,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782047639
472939363,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782047117
472923613,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782046038
472914652,Meta Ads,Paid Ads,Express Wash,Hot Lead,,0.0,0.0,1782045572
472913684,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782045393
472909296,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782044639
472902403,Google Ads,Paid Ads,Paint Protection Film (PPF),,,0.0,0.0,1782043400
